ref	Address	note
74207:51	Životice u Nového Jičína 128, OÚ Životice u Nového Jičína, Nový Jičín	stojan
74207:52	Fulnek, aut.nádr., poblíž Nádražní 690 Fulnek, Nový Jičín	stojan
74207:54	Fulnek, Fučíkova 208 Fulnek, Nový Jičín	stojan
74207:55	Kopřivnice, Pod Zahradami 1291/1 Kopřivnice, Nový Jičín	stojan
74207:56	Kopřivnice, Družební 1345/2a Kopřivnice, Nový Jičín	stojan
74207:57	Kopřivnice, Štefánikova 1410/18d, Kaufland Kopřivnice, Nový Jičín	stojan
74207:6	Nový Jičín, Hřbitovní 1522/26, potraviny Nový Jičín, Nový Jičín	stojan
74207:60	Kopřivnice, Štramberská 378/2, Katol.dům Kopřivnice, Nový Jičín	stojan
74207:61	Kopřivnice, Husova 1119/3 Kopřivnice, Nový Jičín	stojan
74207:62	Kopřivnice, Smetanova 1121/2 Kopřivnice, Nový Jičín	stojan
74207:63	Kopřivnice, Kpt. Nálepky 1064/1 Kopřivnice, Nový Jičín	stojan
74207:64	Kopřivnice, Osvoboditelů 1214/11 Kopřivnice, Nový Jičín	stojan
74207:65	Kopřivnice, Alšova 1143/9 Kopřivnice, Nový Jičín	stojan
74207:67	Kopřivnice, Kadláčkova 1028/7 Kopřivnice, Nový Jičín	stojan
74207:68	Kopřivnice, Obránců míru 369/2, Tech.muzeum Kopřivnice, Nový Jičín	stoj
74207:73	Příbor, 9. května 1162, SKARAB Příbor, Nový Jičín	stojan
74207:75	Příbor, Šafaříkova 1388 Příbor, Nový Jičín	stojan
74207:76	Příbor, Fučíkova 1300 Příbor, Nový Jičín	stojan
74207:77	Příbor, Štramberská 1452, potraviny Příbor, Nový Jičín	stojan
74207:78	Příbor, Okružní 1434, potraviny Příbor, Nový Jičín	stojan
74207:98	Rybí 140, zastávka bus. Rybí, Nový Jičín	stojan
74907:101	BUS zast.,Hradec n.M.,Kajlovec u čp.31 Kajlovec, Hradec nad Moravicí, Opava	na sloupě
74907:107	Radkov,Dubová, BUS zastávka u čp.165 Radkov, Opava	stojan
74907:109	BUS zastávka, Mikolajice čp. 26 Mikolajice, Opava	na stojanu
74907:110	Radkov,Nové Zálužné,u č.186 rozc.u kaple Radkov, Opava	stojan
74907:111	Moravice,na BUS zastávce vedle čp.113 Moravice, Opava	na stojanu
74907:112	Štáblovice, Lipina čp. 1,BUS zastávka Lipina, Štáblovice, Opava	na stojanu
74907:125	Velké Hoštice, naproti čp.246 Velké Hoštice, Opava	na stojanu
74907:133	Kobeřice,křižov.Dubová 626 a Osmilány 1/34 Kobeřice, Opava	stojan
74907:138	Hradec n.M.,Na Tylovách Hradec nad Moravicí, Opava	stojan mezi č. 505 a 677
